年,都道府県,認知件数,人口10万人当たり
2020,山梨,3128,386.2
2020,長野,6944,339.1
2020,静岡,15370,423.1
2020,富山,4539,438.6
2020,石川,3595,317.3
2020,福井,2764,360.4
2020,岐阜,10447,527.9
2020,愛知,39897,529
2020,三重,8560,483.6
2020,滋賀,6039,427.1
2020,京都,11851,459.7
2020,大阪,68351,773.4
2020,兵庫,34246,626.6
2020,奈良,5774,436.1
2020,和歌山,3899,422.4
2020,鳥取,1814,328
2020,島根,1936,288.5
2020,岡山,7832,414.8
2020,広島,11726,418.8
2020,山口,4137,308.3
2020,徳島,2414,335.3
2020,香川,4543,478.2
2020,愛媛,6433,481.9
2020,高知,2719,392.9
2020,福岡,27627,538
2020,佐賀,3069,378.4
2020,長崎,2799,213.3
2020,熊本,5081,292.3
2020,大分,3087,274.6
2020,宮崎,3694,345.2
2020,鹿児島,5113,322
2020,沖縄,5998,408.9
2021,北海道,18429,355.6
2021,青森,3067,251.2
2021,岩手,2507,209.6
2021,宮城,9398,410.4
2021,秋田,1984,209.9
2021,山形,3053,289.4
2021,福島,6627,365.7
2021,東京,75288,537.4
2021,茨城,14277,500.6
2021,栃木,9027,469.9
2021,群馬,9079,471.1
2021,埼玉,40166,547.2
2021,千葉,32638,520.1
2021,神奈川,33252,360
2021,新潟,7746,355.8
2021,山梨,2748,341.4
2021,長野,5959,293.1
2021,静岡,14440,400.2
2021,富山,4546,443.5
2021,石川,3409,303
2021,福井,2714,357.1
2021,岐阜,9479,483.4
2021,愛知,37832,503.3
2021,三重,7410,422
2021,滋賀,5814,412
2021,京都,10483,409.3
2021,大阪,62690,711.9
2021,兵庫,30003,552.3
2021,奈良,5148,391.5
2021,和歌山,3310,362.1
2021,鳥取,1923,350.3
2021,島根,1849,278
2021,岡山,7535,401.7
2021,広島,11181,402.2
2021,山口,3871,291.5
2021,徳島,2362,331.7
2021,香川,3801,403.5
2021,愛媛,5804,439.4
2021,高知,2859,418
2021,福岡,26337,514
2021,佐賀,2821,350
2021,長崎,3155,243.3
2021,熊本,5187,300.2
2021,大分,2887,259.2
2021,宮崎,3535,333.2
2021,鹿児島,4641,294.5
2021,沖縄,5833,397.3
2022,北海道,19604,381.4
2022,青森,3462,287.5
2022,岩手,2655,224.8
2022,宮城,9897,434.1
2022,秋田,1871,201.2
2022,山形,2885,277.1
2022,福島,6913,386.2
2022,東京,78475,559
2022,茨城,15986,562.9
2022,栃木,8883,465.3
2022,群馬,10159,531.1
2022,埼玉,41983,572.2
2022,千葉,32728,522.3
2022,神奈川,36575,396.2
2022,新潟,7433,345.2
2022,山梨,2890,360.3
2022,長野,6635,328.5
2022,静岡,14269,398.4
2022,富山,3929,386.3
2022,石川,3842,343.6
2022,福井,2664,353.8
2022,岐阜,9654,496.1
2022,愛知,41248,550.3
2022,三重,7647,439
2022,滋賀,6830,484.7
2022,京都,10578,414.8
2022,大阪,68807,783.5
2022,兵庫,33018,611.2
2022,奈良,5251,402.1
2022,和歌山,3438,380.7
2022,鳥取,2017,370.8
2022,島根,1834,278.7
2022,岡山,8007,430
2022,広島,12147,440.1
2022,山口,3845,292.8
2022,徳島,2256,320.5
2022,香川,4173,446.8
2022,愛媛,5970,457.1
2022,高知,2723,402.8
2022,福岡,28773,562.4
2022,佐賀,2861,357.2
2022,長崎,3244,252.8
2022,熊本,4944,287.8
2022,大分,2794,252.4
2022,宮崎,3645,346.5
2022,鹿児島,5113,327.1
2022,沖縄,6776,461.6
2023,北海道,22232,436.6
2023,青森,4815,406.7
2023,岩手,2856,245.6
2023,宮城,11583,511.6
2023,秋田,2403,262.9
2023,山形,2980,290.4
2023,福島,8003,452.9
2023,東京,89098,632.5
2023,茨城,19767,699.7
2023,栃木,11932,629
2023,群馬,13326,700.6
2023,埼玉,49653,677.3
2023,千葉,37538,599.9
2023,神奈川,43846,475.1
2023,新潟,8672,407.9
2023,山梨,3365,422.7
2023,長野,7769,387.7
2023,静岡,15612,439.2
2023,富山,4501,447
2023,石川,4775,430.6
2023,福井,2840,381.7
2023,岐阜,11919,617.2
2023,愛知,46832,626.3
2023,三重,9955,576.4
2023,滋賀,7771,552.3
2023,京都,11885,468.8
2023,大阪,80148,914.6
2023,兵庫,37267,694
2023,奈良,5852,451.5
2023,和歌山,4028,451.6
2023,鳥取,2100,391.1
2023,島根,1956,300.9
2023,岡山,9230,499.7
2023,広島,14188,518.2
2023,山口,4186,322.5
2023,徳島,2673,384.6
2023,香川,5761,622.1
2023,愛媛,6809,527.4
2023,高知,3179,477.3
2023,福岡,33284,652.2
2023,佐賀,3750,471.7
2023,長崎,3786,298.8
2023,熊本,6174,361.3
2023,大分,2993,273.1
2023,宮崎,4214,404.4
2023,鹿児島,6721,433.9
2023,沖縄,9124,621.5
2024,北海道,22714,450.4
2024,青森,4358,374.1
2024,岩手,3319,289.9
2024,宮城,11385,506.5
2024,秋田,2576,287.2
2024,山形,3052,301.9
2024,福島,8844,507.4
2024,東京,94752,668.3
2024,茨城,21094,751.7
2024,栃木,12163,645.3
2024,群馬,14593,772.1
2024,埼玉,51667,704.7
2024,千葉,38394,614.2
2024,神奈川,45716,495.6
2024,新潟,9417,448.6
2024,山梨,3441,435
2024,長野,7673,386.2
2024,静岡,16339,463.3
2024,富山,4991,500.6
2024,石川,5384,490.3
2024,福井,2972,402.2
2024,岐阜,11973,624.9
2024,愛知,51025,684
2024,三重,10933,639
2024,滋賀,8147,581.1
2024,京都,12059,478.5
2024,大阪,81403,929.6
2024,兵庫,37817,708.6
2024,奈良,6217,483.8
2024,和歌山,4062,461.6
2024,鳥取,2252,424.1
2024,島根,2086,324.9
2024,岡山,9726,531.2
2024,広島,14675,540.7
2024,山口,4770,372.4
2024,徳島,2952,430.9
2024,香川,5858,638.8
2024,愛媛,6937,543.7
2024,高知,3525,537.3
2024,福岡,37047,727.6
2024,佐賀,3978,504.8
2024,長崎,4009,320.2
2024,熊本,6722,396.1
2024,大分,3442,317.2
2024,宮崎,4276,413.9
2024,鹿児島,7366,480.8
2024,沖縄,9578,653.3
2025,北海道,24150,478.9
2025,青森,4665,400.4
2025,岩手,3351,292.7
2025,宮城,11260,500.9
2025,秋田,2647,295.1
2025,山形,3191,315.6
2025,福島,8674,497.6
2025,東京,99349,700.7
2025,茨城,19273,686.8
2025,栃木,12780,678
2025,群馬,15283,808.6
2025,埼玉,53471,729.3
2025,千葉,39976,639.5
2025,神奈川,50059,542.6
2025,新潟,9707,462.5
2025,山梨,3292,416.2
2025,長野,8085,406.9
2025,静岡,17856,506.3
2025,富山,5337,535.3
2025,石川,5376,489.6
2025,福井,3276,443.3
2025,岐阜,12847,670.5
2025,愛知,56515,757.6
2025,三重,10692,624.9
2025,滋賀,8669,618.3
