図表：１－１－１（刑法犯認知・検挙状況）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年次,S21,S22,S23,S24,S25,S26,S27,S28,S29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検挙件数,576771,542115,592359,648319,667620,649503,640657,605358,573392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検挙人員,309649,325292,347558,379602,389027,386955,384250,365577,339752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検挙率,23.6,19.8,20.8,23.2,26.1,28.6,31.2,31.7,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年次,H21,H22,H23,H24,H25,H26,H27,H28,H29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
認知件数,1713832,1604019,1502951,1403167,1314140,1212163,1098969,996120,915042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人口千人当たり認知件数,13.4,12.5,11.8,11,10.3,9.5,8.6,7.8,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検挙件数,544699,497356,462535,437610,394121,370568,357484,337066,327081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検挙人員,332888,322620,305631,287021,262486,251115,239355,226376,215003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検挙率,31.8,31,30.8,31.2,30,30.6,32.5,33.8,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年次,H30,R元,R2,R3,R4,R5,R6,R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
認知件数,817338,748559,614231,568104,601331,703351,737679,774142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人口千人当たり認知件数,6.5,5.9,4.9,4.5,4.8,5.7,6,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検挙件数,309409,294206,279185,264485,250350,269550,287273,301055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検挙人員,206094,192607,182582,175041,169409,183269,191826,200663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検挙率,37.9,39.3,45.5,46.6,41.6,38.3,38.9,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
図表：１－１－６（年齢層別検挙人員、人口10万人当たり年齢層別検挙人員）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,年次,H元,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,R元,R2,R3,R4,R5,R6,R7
区分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-19歳（人）,,165686,154793,150348,134692,133979,132206,127047,134224,153389,157981,142326,133014,139348,142594,145418,135805,124522,113551,103884,91462,90844,86394,78186,65983,56901,48843,39489,31995,27301,23970,20410,17904,15349,15376,19399,22274,24958
,人口10万人当たり,1386.1,1303,1290.3,1188.3,1228.5,1263,1258.1,1375.5,1612.1,1698.4,1564.5,1497.6,1601.1,1675.6,1760.3,1697.1,1595.6,1486.9,1390.3,1242.2,1247,1187.1,1075.8,910.5,787.4,680,546.3,445.1,384,341.7,295.4,264,230.4,232.9,295.5,341.5,382.6
20-24歳,,30925,31371,36796,37665,39268,41227,36528,34984,34100,35717,34699,32377,33190,34800,40261,41634,40491,39708,36335,31859,31112,29607,27182,25758,23787,23022,22775,21841,21435,20561,19248,17692,17164,16482,17178,17967,18578
,人口10万人当たり,350.9,355.4,391.8,392.5,399.3,412.8,368.7,356.5,355.8,385.8,390.3,383.7,404.7,434.4,512.3,539,548.5,543.1,502,448.4,450,453.8,426.7,410.7,383.4,371.1,373.9,354.2,343.2,324.7,302.6,279.9,274,263.1,275.4,287,296.7
25-29歳,,17444,16721,18075,18603,19996,21588,20620,20030,20366,21039,21244,22025,23187,23796,26875,26958,26441,26891,25162,23496,23239,22415,20734,20007,18353,18059,17664,17133,16304,16109,14819,14379,13967,13783,14933,16011,16847
,人口10万人当たり,219.6,206.6,226.4,225.4,236.2,248.9,234.4,215,214.4,216.2,214.7,224.5,238.9,252.3,295.1,307.9,318,335.6,322.8,307.9,309.7,303.3,287.2,283.8,267.1,270.5,270.4,266.8,256.8,255.4,233.5,225.3,219,214.9,230.4,245.6,258.5
30-34歳,,14311,12970,13199,13462,14817,15299,14940,14285,14681,15145,15901,17303,18562,20673,23854,25060,25491,26352,24416,22789,21524,20533,19146,18835,17888,17394,17287,16990,15988,15184,14199,13253,12188,11969,12915,14008,14564
,人口10万人当たり,180.7,166.1,170.3,172.6,188.7,193.7,183.6,178.4,177.6,178.7,183.2,196.8,199,217.8,245.9,255.2,260.2,273.2,260.7,253.3,250.5,243.9,236.5,240.5,234.7,233,233.7,233.4,223.4,216.7,207.3,197.4,185.9,185.7,202.5,219,227.7
